I(w1;w2),C(w1),C(w2),C(w1;w2),collocation
11.682893029361635,3812,3893,3812,"('KAMER', 'GENÇ')"
11.298856126334366,5070,4923,4913,"('GRUBU', 'ADINA')"
11.260714221652107,5028,5177,4990,"('Mikrofon', 'otomatik')"
11.223048240788565,5177,5161,4990,"('otomatik', 'cihaz')"
11.03500843564705,5924,5204,5054,"('Doğru', 'Yol')"
10.799009514152909,6831,3990,3794,"('Değişiklik', 'Yapılmasına')"
10.722191464611672,6586,6852,5956,"('Malî', 'Yılı')"
10.292964942716898,10149,6135,6103,"('edenler', 'Etmeyenler')"
10.247140174438599,8827,8366,7012,"('saygıyla', 'selamlıyorum')"
10.154454692644041,8378,6469,4826,"('Millî', 'Eğitim')"
10.14086732255728,4418,8827,3440,"('hepinizi', 'saygıyla')"
10.001846993657148,11985,11699,11232,"('Başkanlığa', 'geliş')"
9.826625997295865,11699,13505,11209,"('geliş', 'tarihi')"
9.770598058036725,7376,12055,6068,"('oylarınıza', 'sunuyorum')"
9.73120480940685,5204,12585,4349,"('Yol', 'Partisi')"
9.553216417882613,13716,4633,3730,"('Avrupa', 'Birliği')"
9.539166511253176,15356,8363,7465,"('Meclisi', 'Başkanlığına')"
9.533742978190316,12585,9683,7057,"('Partisi', 'Grubu')"
9.457017490923644,11919,5774,3779,"('şu', 'anda')"
9.420464481745949,11149,8097,4833,"('yer', 'alan')"
9.350136402025287,19068,18506,17993,"('Büyük', 'Millet')"
9.314459907069967,19618,3567,3481,"('Kabul', 'etmeyenler')"
9.28013711150432,20242,5077,4992,"('tarafından', 'kapatıldı')"
9.272842082329948,20676,5508,5504,"('Kanun', 'Hükmünde')"
9.261367418345547,5161,20242,5009,"('cihaz', 'tarafından')"
9.211430444865137,18506,15356,13162,"('Millet', 'Meclisi')"
9.144726635016523,19618,10149,8805,"('Kabul', 'edenler')"
9.117332489187483,21795,19233,18189,"('sıralarından', 'alkışlar')"
9.109181651514687,9683,18052,7542,"('Grubu', 'adına')"
9.10601545235035,11899,9608,4922,"('Bakanından', 'sözlü')"
9.102431661623541,7181,16252,5012,"('olmak', 'üzere')"
9.019487112713078,6135,19618,4880,"('Etmeyenler', 'Kabul')"
8.943605390973733,21587,4641,3854,"('Genel', 'Müdürlüğü')"
8.908238715366458,21703,20574,16761,"('soru', 'önergesi')"
8.902164215896242,20574,11985,9217,"('önergesi', 'Başkanlığa')"
8.79908991834351,9608,21703,7257,"('sözlü', 'soru')"
8.767921596700102,7144,22465,5466,"('sıra', 'sayılı')"
8.705016137843051,20676,5395,3637,"('Kanun', 'Tasarısı')"
8.69917103201021,21868,5837,4145,"('söz', 'almış')"
8.695269343409631,13870,14524,6524,"('Teşekkür', 'ederim')"
8.634531254090765,7542,21795,5104,"('FP', 'sıralarından')"
8.614563078883073,15013,21703,9978,"('yazılı', 'soru')"
8.552360534185995,7021,18399,3789,"('teşekkür', 'ediyorum')"
8.53252251880666,6127,20676,3665,"('Dair', 'Kanun')"
8.528941435343619,21923,10552,6676,"('Değerli', 'arkadaşlar')"
8.509013407780309,8421,21795,5224,"('DYP', 'sıralarından')"
8.481248139222837,35242,3495,3439,"('ilişkin', 'Başbakandan')"
8.4178636694696,19618,12623,6617,"('Kabul', 'edilmiştir')"
8.417762892176613,11899,15013,4773,"('Bakanından', 'yazılı')"
8.398419503503488,21923,8499,4912,"('Değerli', 'arkadaşlarım')"
8.3747025139639,12055,19618,6133,"('sunuyorum', 'Kabul')"
8.363833885631017,9980,20676,5311,"('Hakkında', 'Kanun')"
8.173352543578652,35242,6674,5305,"('ilişkin', 'sorusu')"
8.149560768166813,14257,14524,4594,"('arz', 'ederim')"
8.072977444696644,13870,18399,5369,"('Teşekkür', 'ediyorum')"
7.863372120436491,28932,18192,9576,"('Başkan', 'değerli')"
7.813398224128282,17504,17775,5468,"('Devlet', 'Bakanı')"
7.791284432079037,7462,27016,3489,"('buyurun', 'efendim')"
7.678799445448575,18192,31284,9111,"('değerli', 'milletvekilleri')"
7.5887173290074825,62382,19068,17890,"('Türkiye', 'Büyük')"
7.524658073577102,8052,31284,3624,"('sayın', 'milletvekilleri')"
7.368137160497748,62382,4692,3778,"('Türkiye', 'Cumhuriyeti')"
7.3447216804620785,21923,31284,8710,"('Değerli', 'milletvekilleri')"
7.178374551262489,5077,62066,3566,"('kapatıldı', 'BAŞKAN')"
7.123889945802348,62066,13870,9381,"('BAŞKAN', 'Teşekkür')"
6.989976676265611,62382,15807,9793,"('Türkiye', 'nin')"
6.828831619318511,62066,8497,4684,"('BAŞKAN', 'Efendim')"
6.696426417372927,115803,28932,27148,"('Sayın', 'Başkan')"
6.6228386795586545,115803,5142,4585,"('Sayın', 'Başkanım')"
6.613927059134157,115803,8672,7685,"('Sayın', 'Bakan')"
6.441913143785548,52072,10314,3648,"('Milletvekili', 'Mehmet')"
6.336565239649615,16424,52072,5400,"('İstanbul', 'Milletvekili')"
6.26611412208107,19233,62066,7178,"('alkışlar', 'BAŞKAN')"
6.184394958364317,12458,52072,3686,"('Ankara', 'Milletvekili')"
6.128160849510162,28335,29720,4602,"('ne', 'kadar')"
5.834706601170812,4198,216894,4060,"('herhangi', 'bir')"
5.818622853490556,9547,91097,3835,"('ya', 'da')"
5.767793581931453,9482,90353,3647,"('hem', 'de')"
5.743022457973438,8911,115803,4318,"('Buyurun', 'Sayın')"
5.528923375256183,167117,8080,4871,"('bu', 'konuda')"
5.111638638289872,216894,8464,4959,"('bir', 'şey')"
5.10394067075817,6674,357787,6416,"('sorusu', 've')"
5.022122874203262,6055,357787,5500,"('Plan', 've')"
4.977028300095587,30398,56017,4190,"('ilgili', 'olarak')"
4.837266194061496,11234,216894,5442,"('böyle', 'bir')"
