C(w1;w2),collocation,tag pattern
38672,"('BA', 'KAN')",NN
28614,"('Ba', 'kan')",NN
23936,"('ili', 'kin')",NN
22620,"('Kabul', 'edenler')",NN
22583,"('soru', 'önergesi')",NN
20446,"('Say', 'Ba')",NN
18869,"('yazılı', 'soru')",AN
16733,"('Millet', 'Meclisi')",NN
15950,"('Büyük', 'Millet')",AN
15930,"('sıralarından', 'alkışlar')",NN
15138,"('edenler', 'Kabul')",NN
14049,"('önergesi', 'Başkanlığa')",NN
13982,"('Te', 'ekk')",NN
11130,"('otomatik', 'cihaz')",AN
10884,"('erli', 'milletvekilleri')",AN
10577,"('de', 'il')",NN
10397,"('na', 'ili')",NN
10023,"('BAŞKAN', 'Teşekkür')",AN
9896,"('ad', 'na')",NN
9855,"('Say', 'Bakan')",NN
9621,"('le', 'ri')",NN
9534,"('değerli', 'milletvekilleri')",AN
9328,"('yaz', 'soru')",NN
8988,"('Teşekkür', 'ederim')",NN
8737,"('ne', 'kadar')",AN
8527,"('Türkiye', 'de')",AN
8101,"('KAN', 'Te')",NN
7860,"('Sayın', 'Bakan')",AN
7577,"('ekk', 'ederim')",NN
7555,"('Kanun', 'Tasarısı')",NN
7477,"('Değerli', 'milletvekilleri')",AN
7357,"('Meclisi', 'Başkanlığına')",NN
7038,"('Sayın', 'milletvekilleri')",AN
6968,"('KAN', 'Say')",NN
6947,"('cihaz', 'tarafından')",NN
6765,"('Partisi', 'Grubu')",NN
6731,"('Cumhuriyet', 'Halk')",NN
6606,"('kan', 'de')",NN
6563,"('teklif', 'ederiz')",NN
6466,"('Hareket', 'Partisi')",NN
6432,"('Türkiye', 'Cumhuriyeti')",AN
6231,"('bir', 'şey')",AN
5907,"('Milletvekili', 'Mehmet')",NN
5778,"('OKTAY', 'VURAL')",NN
5603,"('Değerli', 'arkadaşlarım')",AN
5546,"('ilişkin', 'Başbakandan')",NN
5504,"('CHP', 'sıralarından')",NN
5477,"('Kanun', 'Tasar')",NN
5451,"('bir', 'şekilde')",AN
5269,"('Halk', 'Partisi')",NN
5237,"('Milliyetçi', 'Hareket')",NN
5111,"('MHP', 'sıralarından')",NN
5074,"('Adana', 'Milletvekili')",NN
5017,"('AK', 'Parti')",AN
4992,"('BAKANI', 'MEHMET')",NN
4869,"('Ba', 'bakan')",NN
4864,"('do', 'ru')",NN
4778,"('Kanun', 'Teklifi')",NN
4716,"('Mersin', 'Milletvekili')",NN
4688,"('Değerli', 'arkadaşlar')",AN
4587,"('BAŞKAN', 'Komisyon')",AN
4516,"('ederim', 'Say')",NN
4453,"('Hakk', 'nda')",NN
4453,"('Meclis', 'araştırması')",NN
4258,"('Millet', 'Meclisinin')",NN
4218,"('DEVLET', 'BAKANI')",NN
4198,"('de', 'ildir')",NN
4179,"('cihaz', 'taraf')",NN
4157,"('te', 'ekk')",NN
4154,"('Meclisi', 'Ba')",NN
4124,"('Hakkında', 'Kanun')",NN
4120,"('bir', 'de')",AN
4103,"('aras', 'nda')",NN
4006,"('Bursa', 'Milletvekili')",NN
3989,"('Say', 'milletvekilleri')",NN
3944,"('sözlü', 'soru')",AN
3926,"('ilişkin', 'sorusu')",NN
3900,"('GRUBU', 'ADINA')",NN
3825,"('kin', 'Ba')",NN
3792,"('BAŞKAN', 'Kabul')",AN
3665,"('Parti', 'ralar')",NN
3609,"('sayılı', 'Kanun')",AN
3582,"('şu', 'anda')",AN
3542,"('son', 'derece')",AN
3528,"('değerli', 'arkadaşlar')",AN
3526,"('Grubu', 'adına')",NN
3510,"('ge', 'en')",NN
3438,"('bir', 'ok')",AN
3406,"('ko', 'nu')",NN
3393,"('GENÇ', 'Tunceli')",AN
3378,"('Grubu', 'ad')",NN
3354,"('BAŞKAN', 'Hükûmet')",AN
3353,"('hakk', 'nda')",NN
3336,"('söz', 'konusu')",NN
3302,"('AK', 'PART')",AN
3275,"('Buyurun', 'Say')",NN
3270,"('KAN', 'Kabul')",NN
3269,"('değerli', 'arkadaşlarım')",AN
3208,"('Devlet', 'Bakanı')",NN
3200,"('ilişkin', 'önergesi')",NN
3169,"('alt', 'nda')",AN
3155,"('ın', 'cevabı')",NN
3154,"('Milletvekili', 'Kemal')",NN
3150,"('ra', 'say')",NN
3119,"('Önergeyi', 'oylarınıza')",NN
3118,"('yeter', 'sayısı')",AN
3113,"('ra', 'men')",NN
3021,"('nda', 'Kanun')",NN
2993,"('Ba', 'bakandan')",NN
2987,"('in', 'de')",NN
2980,"('bir', 'an')",AN
2957,"('arz', 'ederim')",NN
2941,"('CHP', 'ralar')",NN
2927,"('Kanunu', 'Tasarısı')",NN
2886,"('MEHMET', 'ŞANDIR')",NN
2852,"('çok', 'önemli')",AN
2850,"('KEMAL', 'ANADOL')",NN
2836,"('Başkan', 'Vekili')",AN
2817,"('Milletvekili', 'Ahmet')",NN
2801,"('me', 'si')",NN
2776,"('kan', 'BA')",NN
2775,"('ba', 'kan')",NN
2759,"('in', 'cevabı')",NN
2750,"('MHP', 'ralar')",NN
2745,"('inci', 'maddesi')",AN
2740,"('Ardahan', 'Milletvekili')",NN
2706,"('Milli', 'Eğitim')",AN
2673,"('Komisyon', 'önergeye')",NN
2654,"('Sayın', 'Başbakan')",AN
2649,"('en', 'önemli')",NN
2633,"('say', 'Kanun')",NN
2614,"('Mehmet', 'Şandır')",NN
2578,"('olan', 'sıra')",AN
2561,"('Milletvekili', 'Ensar')",NN
2557,"('konu', 'mas')",NN
2545,"('Alim', 'Işık')",AN
2544,"('ba', 'ar')",NN
2532,"('ben', 'de')",NN
2512,"('Milliyet', 'Hareket')",NN
2505,"('Milletvekili', 'Say')",NN
2504,"('sıralarından', 'gürültüler')",NN
2503,"('ge', 'mi')",NN
2503,"('bugüne', 'kadar')",NN
2502,"('Antalya', 'Milletvekili')",NN
2490,"('Tabii', 'Kaynaklar')",AN
2480,"('Millî', 'Eğitim')",AN
2480,"('Ensar', 'Öğüt')",NN
2479,"('GEN', 'Tunceli')",AN
2463,"('bir', 'kez')",AN
2463,"('Mill', 'itim')",NN
2447,"('Oktay', 'Vural')",NN
2439,"('Ali', 'Rıza')",AN
2428,"('Gaziantep', 'Milletvekili')",NN
2426,"('Milletvekili', 'Hasan')",NN
2422,"('ilişkin', 'açıklaması')",NN
2400,"('kez', 'daha')",NN
2396,"('adına', 'söz')",NN
2361,"('Devlet', 'Bakan')",NN
2345,"('Sayın', 'Bakanım')",AN
2329,"('al', 'an')",AN
2322,"('Kanun', 'un')",NN
2318,"('Eğitim', 'Bakanından')",NN
2308,"('Tokat', 'Milletvekili')",NN
2298,"('kin', 'sorusu')",NN
2296,"('Tüzük', 'ün')",NN
2274,"('bir', 'kanun')",AN
2244,"('de', 'de')",NN
2232,"('na', 're')",NN
2211,"('ge', 'ti')",NN
2209,"('Kemal', 'Demirel')",NN
2207,"('bir', 'konu')",AN
2189,"('bir', 'Meclis')",AN
2189,"('ekk', 'rler')",NN
2187,"('BAŞKAN', 'Buyurun')",AN
2184,"('ŞANDIR', 'Mersin')",NN
2179,"('ok', 'nemli')",NN
2171,"('Anayasa', 'Mahkemesi')",NN
2168,"('biz', 'de')",NN
2156,"('Önerge', 'kabul')",NN
2155,"('mu', 'PLAN')",NN
2145,"('inci', 'maddesinin')",AN
2138,"('ile', 'Plan')",NN
