C(w1;w2),collocation,tag pattern
80604,"('soru', 'önergesi')",NN
69535,"('yazılı', 'soru')",AN
47122,"('önergesi', 'Başkanlığa')",NN
35563,"('sıralarından', 'alkışlar')",NN
32357,"('Büyük', 'Millet')",AN
23871,"('Millet', 'Meclisi')",NN
22141,"('BAŞKAN', 'Teşekkür')",AN
21922,"('Kabul', 'edenler')",NN
19309,"('Teşekkür', 'ederim')",NN
17887,"('Ankara', 'Milletvekili')",NN
17458,"('değerli', 'milletvekilleri')",AN
16236,"('CHP', 'sıralarından')",NN
16212,"('Sayın', 'Bakan')",AN
16163,"('bir', 'şey')",AN
15727,"('Türkiye', 'de')",AN
14666,"('Milletvekili', 'Mustafa')",NN
14601,"('ilişkin', 'Başbakandan')",NN
14538,"('Milliyetçi', 'Hareket')",NN
13417,"('edenler', 'Kabul')",NN
13294,"('Milletvekili', 'Mehmet')",NN
13285,"('Kanun', 'Teklifi')",NN
13144,"('Meclisi', 'Başkanlığına')",NN
12595,"('Hareket', 'Partisi')",NN
12008,"('Değerli', 'milletvekilleri')",AN
11976,"('Kanun', 'Tasarısı')",NN
11645,"('Cumhuriyet', 'Halk')",NN
11285,"('Mersin', 'Milletvekili')",NN
11251,"('sözlü', 'soru')",AN
11119,"('bir', 'şekilde')",AN
10726,"('OKTAY', 'VURAL')",NN
10594,"('Sezgin', 'Tanrıkulu')",NN
10475,"('Partisi', 'Grup')",NN
10438,"('Mustafa', 'Sezgin')",NN
10401,"('ilişkin', 'açıklaması')",NN
10368,"('Sayın', 'milletvekilleri')",AN
9251,"('sayılı', 'Kanun')",AN
9209,"('ilişkin', 'sorusu')",NN
9008,"('ın', 'cevabı')",NN
8961,"('Özcan', 'Yeniçeri')",NN
8889,"('Alim', 'Işık')",AN
8857,"('Grup', 'Başkanvekili')",NN
8840,"('Merkezî', 'Yönetim')",AN
8826,"('Değerli', 'arkadaşlar')",AN
8803,"('Meclis', 'araştırması')",NN
8775,"('Hakkında', 'Kanun')",NN
8708,"('Milletvekili', 'Özcan')",NN
8570,"('Milli', 'Eğitim')",AN
8334,"('Türkiye', 'Cumhuriyeti')",AN
8180,"('Halk', 'Partisi')",NN
7997,"('teklif', 'ederiz')",NN
