I(w1;w2),C(w1),C(w2),C(w1;w2),collocation
17.47851289180802,661,663,661,"('MÜSAVAT', 'DERVİŞOĞLU')"
17.43141777407272,685,684,684,"('KEMALBAY', 'PEKGÖZEGÜ')"
17.41883605153235,691,685,685,"('SERPİL', 'KEMALBAY')"
16.785046607408937,799,1044,778,"('Müsavat', 'Dervişoğlu')"
16.778897478786,821,922,703,"('Metanet', 'Çulhaoğlu')"
16.66155339304059,765,1168,765,"('RUŞTU', 'TİRYAKİ')"
16.535096420174387,1275,661,661,"('DURSUN', 'MÜSAVAT')"
16.45370331897234,1349,722,722,"('YAVUZ', 'AĞIRALİOĞLU')"
15.660041281188796,2330,2214,2206,"('SARUHAN', 'OLUÇ')"
15.523791668684698,1465,2342,1335,"('Saruhan', 'Oluç')"
15.506100371748298,1397,1367,734,"('ZÜLFÜ', 'DEMİRBAĞ')"
15.386104627637756,2708,2770,2653,"('ÖZLEM', 'ZENGİN')"
15.264121801661455,2919,799,758,"('Dursun', 'Müsavat')"
15.143690150276647,3073,1120,1029,"('FATMA', 'KURTULAN')"
14.780337065326739,3871,1465,1318,"('Hakkı', 'Saruhan')"
14.598179243502717,4622,2330,2206,"('HAKKI', 'SARUHAN')"
14.574378654296911,2125,2123,909,"('GARO', 'PAYLAN')"
14.542280069458384,2584,2773,1412,"('Özlem', 'Zengin')"
14.35766851949742,2572,1767,788,"('Süreyya', 'Sadi')"
14.35648964044386,2126,2115,779,"('FETHİ', 'GÜRER')"
14.265960074515977,1143,3651,679,"('HÜDA', 'KAYA')"
14.153054997303784,6292,3152,2984,"('EMİN', 'AKBAŞOĞLU')"
13.694687194442995,4325,6292,2980,"('MUHAMMET', 'EMİN')"
13.667331193290202,3152,8288,2807,"('AKBAŞOĞLU', 'Çankırı')"
13.645727674505418,3526,7944,2965,"('CAHİT', 'ÖZKAN')"
13.628174457215414,1824,8813,1681,"('MUHAMMED', 'LEVENT')"
13.591504240754428,5379,4723,2590,"('LÜTFÜ', 'TÜRKKAN')"
13.545743664373896,2250,3456,768,"('Uyarınca', 'Hazırlanan')"
13.457843356932818,5904,5900,3237,"('DANIŞ', 'BEŞTAŞ')"
13.322221627627238,3677,4784,1488,"('Danış', 'Beştaş')"
13.30642797622482,1367,6059,693,"('DEMİRBAĞ', 'Elâzığ')"
13.283736799787022,7326,1238,747,"('Bekir', 'Pakdemirli')"
13.28162766660837,8813,2322,1683,"('LEVENT', 'BÜLBÜL')"
13.210547625127889,6375,1653,825,"('SALİH', 'CORA')"
13.16758179909162,9941,1104,834,"('Ayhan', 'Erel')"
13.111438892937693,3386,3980,985,"('Tamamlayın', 'sözlerinizi')"
13.058417331096528,7782,5904,3237,"('MERAL', 'DANIŞ')"
12.769936391308214,6352,2126,779,"('ÖMER', 'FETHİ')"
12.766352671199964,3252,3682,689,"('ABDULLAH', 'GÜLER')"
12.753829176919623,3739,4304,918,"('Fethi', 'Gürer')"
12.714060346470273,5102,4641,1314,"('Lütfü', 'Türkkan')"
12.666507199496403,5814,3892,1215,"('öğrenmek', 'istediğine')"
12.619891755453818,7418,3677,1418,"('Meral', 'Danış')"
12.57145247122006,10514,2715,1435,"('Emin', 'Akbaşoğlu')"
12.549127570377928,4352,3658,788,"('FİLİZ', 'KERESTECİOĞLU')"
12.43805004341243,2168,10326,1026,"('Muhammed', 'Levent')"
12.399094947740563,5900,10703,2817,"('BEŞTAŞ', 'Siirt')"
12.369727428556565,3792,4006,664,"('İptal', 'Edilen')"
12.311566101436851,3658,5131,788,"('KERESTECİOĞLU', 'DEMİR')"
12.264754596540504,2770,22739,2560,"('ZENGİN', 'Tokat')"
12.248264531321064,2322,17406,1624,"('BÜLBÜL', 'Sakarya')"
12.218151039044272,3350,11773,1552,"('Cahit', 'Özkan')"
12.184978036802246,3673,4984,704,"('AR', 'GE')"
12.066832542964681,2719,13971,1346,"('Fuat', 'Oktay')"
12.063404455655366,9737,2118,729,"('TURAN', 'AYDOĞAN')"
12.015963730286478,16563,3832,2171,"('ENGİN', 'ÖZKOÇ')"
11.972513802470386,8713,3247,939,"('Engin', 'Özkoç')"
11.953800579897548,7986,5947,1556,"('ERKAN', 'AKÇAY')"
11.936577197929402,10326,3120,1043,"('Levent', 'Bülbül')"
11.860751239225602,14428,2719,1205,"('Yardımcısı', 'Fuat')"
11.852429290231163,3832,17406,2037,"('ÖZKOÇ', 'Sakarya')"
11.822407467982151,5743,6130,1053,"('Raporunun', 'Sunulduğuna')"
11.791413235380826,3803,6000,668,"('TABİİ', 'KAYNAKLAR')"
11.646955103715872,1982,13468,707,"('KÖKSAL', 'Afyonkarahisar')"
11.526521760600382,5633,10514,1443,"('Muhammet', 'Emin')"
11.495205151036666,12684,2371,717,"('MAHMUT', 'TOĞRUL')"
11.494065840091551,11840,3283,926,"('acil', 'şifalar')"
11.487296854527296,9648,6522,1492,"('Cumhurbaşkanlığı', 'hükûmet')"
11.476852696453344,1653,20508,798,"('CORA', 'Trabzon')"
11.41825301532574,2115,15333,733,"('GÜRER', 'Niğde')"
11.379132785148963,13833,9737,2963,"('BÜLENT', 'TURAN')"
11.179152100941463,12799,2660,652,"('GENEL', 'MÜDÜRLÜĞÜ')"
11.173017908765924,12931,3739,922,"('Ömer', 'Fethi')"
11.150179173275323,16369,5725,1759,"('rahmet', 'dilediğine')"
11.139991409739432,16563,13019,4019,"('ENGİN', 'ALTAY')"
11.099757552870411,7185,5137,669,"('Birleşik', 'Devletleri')"
11.08787452533924,7734,15651,2176,"('Halkların', 'Demokratik')"
11.072984566552941,9654,11341,1948,"('TEKLİFLERİ', 'İLE')"
11.070881185181873,15585,19665,5445,"('ÖZGÜR', 'ÖZEL')"
11.023701354733504,5756,7982,790,"('aykırılık', 'sırasına')"
11.003430193244983,13482,6584,1505,"('hayatını', 'kaybeden')"
10.956852855199623,9596,8354,1316,"('Birleşmiş', 'Milletler')"
10.95084293019769,4006,10139,664,"('Edilen', 'Ödenek')"
10.911674320728615,4000,14472,921,"('Binali', 'Yıldırım')"
10.828759738525385,11341,11423,1946,"('İLE', 'KOMİSYONLARDAN')"
10.818799105305285,14464,10599,2287,"('Recep', 'Tayyip')"
10.789022965794858,12684,8044,1491,"('MAHMUT', 'TANAL')"
10.723574922911238,23313,2233,727,"('Hükmünde', 'Kararnamede')"
10.666147100873577,1120,61807,929,"('KURTULAN', 'Mersin')"
10.647677766139505,8713,11183,1291,"('Engin', 'Altay')"
10.636351395414026,15113,9654,1918,"('KANUN', 'TEKLİFLERİ')"
10.63601559219891,76087,765,765,"('MEHMET', 'RUŞTU')"
10.589905131508475,8453,7314,787,"('HAYDAR', 'AKAR')"
10.578202113961744,48092,4891,2970,"('yaptığı', 'açıklamasındaki')"
10.57449350554453,61562,1086,842,"('Mustafa', 'Şentop')"
10.551362265570765,25412,16666,5249,"('Kesin', 'Hesabı')"
10.550981945478155,4723,40020,2342,"('TÜRKKAN', 'Kocaeli')"
10.54675199397941,10599,19749,2586,"('Tayyip', 'Erdoğan')"
10.495903730167207,11701,13959,1948,"('DİĞER', 'İŞLER')"
10.48695305004995,11724,6160,856,"('Silahlı', 'Kuvvetleri')"
10.4371590603765,13375,11629,1781,"('günkü', 'birleşiminde')"
10.42989230968819,19000,6546,1417,"('Aynı', 'mahiyetteki')"
10.422546152628007,7944,29729,2677,"('ÖZKAN', 'Denizli')"
10.388174291161393,9737,24626,2654,"('TURAN', 'Çanakkale')"
10.387335268529348,15653,9766,1691,"('işleme', 'alacağım')"
10.30744790712813,8188,7655,656,"('CETVELİ', 'Toplam')"
10.280074185437957,6988,11789,846,"('Bravo', 'sesleri')"
