C(w1;w2),collocation,tag pattern
31127,"('sıralarından', 'alkışlar')",NN
21568,"('ilişkin', 'açıklaması')",NN
17052,"('otomatik', 'cihaz')",AN
17043,"('cihaz', 'tarafından')",NN
13058,"('Büyük', 'Millet')",AN
12071,"('CHP', 'sıralarından')",NN
11810,"('Kanun', 'Teklifi')",NN
11438,"('değerli', 'milletvekilleri')",AN
11418,"('Teşekkür', 'ederim')",NN
10473,"('Merkezî', 'Yönetim')",AN
9771,"('Kabul', 'edenler')",NN
9509,"('Değerli', 'milletvekilleri')",AN
8853,"('Millet', 'Meclisi')",NN
8764,"('Türkiye', 'de')",AN
8760,"('bir', 'şey')",AN
7373,"('bir', 'şekilde')",AN
7225,"('Grubu', 'adına')",NN
6935,"('BAŞKAN', 'Buyurun')",AN
6770,"('Değerli', 'arkadaşlar')",AN
6338,"('sayılı', 'Kanun')",AN
6297,"('HDP', 'sıralarından')",NN
6082,"('Başkan', 'Vekili')",AN
5429,"('bazı', 'ifadelerine')",AN
5249,"('Kesin', 'Hesabı')",AN
5154,"('Yönetim', 'Bütçesi')",NN
5153,"('Meclisi', 'Başkanlığına')",NN
5133,"('ÖZEL', 'Manisa')",AN
5001,"('Cumhuriyet', 'Halk')",NN
4903,"('Allah', 'tan')",NN
4831,"('ifadelerine', 'ilişkin')",NN
4645,"('GRUBU', 'ADINA')",NN
4546,"('edenler', 'Kabul')",NN
4430,"('değerli', 'arkadaşlar')",AN
4420,"('Partisi', 'Grubu')",NN
4377,"('tan', 'rahmet')",NN
4315,"('Türkiye', 'Cumhuriyeti')",AN
4265,"('şu', 'anda')",AN
4265,"('ne', 'kadar')",AN
4098,"('Kurulu', 'saygıyla')",AN
3805,"('BAŞKAN', 'Komisyon')",AN
3586,"('Halk', 'Partisi')",NN
3584,"('kez', 'daha')",NN
3576,"('Milliyetçi', 'Hareket')",NN
3542,"('bir', 'kez')",AN
3540,"('BAŞKAN', 'Teşekkür')",AN
3484,"('Sayın', 'milletvekilleri')",AN
3274,"('Manisa', 'Milletvekili')",NN
3251,"('ilişkin', 'sorusu')",NN
3238,"('söz', 'konusu')",NN
3215,"('Bazı', 'Kanunlarda')",AN
3188,"('bir', 'an')",AN
2963,"('BÜLENT', 'TURAN')",NN
2944,"('Merkezi', 'Yönetim')",AN
2941,"('Komisyon', 'önergeye')",NN
2907,"('teklif', 'ederiz')",NN
2817,"('BEŞTAŞ', 'Siirt')",NN
2807,"('AKBAŞOĞLU', 'Çankırı')",NN
2777,"('aynı', 'zamanda')",AN
2770,"('Hareket', 'Partisi')",NN
2770,"('olan', 'sıra')",AN
2717,"('sıralarından', 'gürültüler')",NN
2711,"('alkışlar', 'Süreniz')",NN
2677,"('ÖZKAN', 'Denizli')",NN
2659,"('adına', 'söz')",NN
2654,"('TURAN', 'Çanakkale')",NN
2652,"('Önergeyi', 'oylarınıza')",NN
2622,"('en', 'önemli')",NN
2593,"('Milletvekili', 'Mehmet')",NN
2590,"('LÜTFÜ', 'TÜRKKAN')",NN
2586,"('Tayyip', 'Erdoğan')",NN
2579,"('üzerinde', 'söz')",NN
2568,"('BAŞKAN', 'Kabul')",AN
2533,"('MEHMET', 'MUŞ')",NN
2532,"('BAŞKAN', 'Önerge')",AN
2509,"('çok', 'önemli')",AN
2501,"('Hakkında', 'Kanun')",NN
2499,"('Sayın', 'Bakan')",AN
2447,"('Millet', 'Meclisinin')",NN
2439,"('Kanun', 'Teklifleri')",NN
2434,"('Tüzük', 'ün')",NN
2342,"('TÜRKKAN', 'Kocaeli')",NN
2330,"('için', 'de')",AN
2320,"('bugüne', 'kadar')",NN
2287,"('Recep', 'Tayyip')",NN
2228,"('Mersin', 'Milletvekili')",NN
2206,"('HAKKI', 'SARUHAN')",NN
2206,"('SARUHAN', 'OLUÇ')",NN
2196,"('BAŞKAN', 'Önergeyi')",AN
2100,"('Özel', 'in')",AN
2094,"('AÇIKLAMALAR', 'Devam')",NN
2064,"('ne', 'yazık')",AN
2040,"('ben', 'de')",NN
2037,"('ÖZKOÇ', 'Sakarya')",NN
1964,"('madde', 'üzerinde')",NN
1956,"('Mustafa', 'Kemal')",NN
1950,"('Millî', 'Eğitim')",AN
1949,"('Sayısı', 'Devam')",NN
1943,"('Üniversitesi', 'Yılı')",NN
1939,"('bir', 'de')",AN
1934,"('son', 'derece')",AN
1931,"('MHP', 'sıralarından')",NN
1930,"('BAŞKAN', 'Teşekkürler')",AN
1929,"('Kocaeli', 'Milletvekili')",NN
1917,"('Türk', 'Silahlı')",NN
1906,"('Türkiye', 'yi')",AN
1900,"('Milletvekili', 'Mustafa')",NN
1893,"('Demokratik', 'Partisi')",AN
1885,"('ın', 'cevabı')",NN
1884,"('Kesin', 'Hesap')",AN
