+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.010567022952187326 |
|      |                      |
| 9.0  | 0.011653798457314709 |
|      |                      |
| 8.0  | 0.013333445814953196 |
|      |                      |
| 7.0  | 0.015168927078479473 |
|      |                      |
| 6.0  |  0.0182679518316241  |
|      |                      |
| 5.0  | 0.022318227364728015 |
|      |                      |
| 4.0  | 0.029644842421093144 |
|      |                      |
| 3.0  | 0.04203180230225418  |
|      |                      |
| 2.0  | 0.07455437751858685  |
|      |                      |
| 1.0  | 0.23780535244929762  |
|      |                      |
+------+----------------------+
