+------+-----------------------+
|  r   |         P_mle         |
+------+-----------------------+
| 10.0 | 0.0054618207433718416 |
|      |                       |
| 9.0  | 0.0053883463649789815 |
|      |                       |
| 8.0  |  0.006719864305085557 |
|      |                       |
| 7.0  |  0.007328900282621908 |
|      |                       |
| 6.0  |  0.009476167267465216 |
|      |                       |
| 5.0  |  0.01188720823623064  |
|      |                       |
| 4.0  |  0.01869551213475099  |
|      |                       |
| 3.0  |  0.030645188075079544 |
|      |                       |
| 2.0  |  0.07483128892442889  |
|      |                       |
| 1.0  |   0.5992373340708237  |
|      |                       |
+------+-----------------------+
