+------+-----------------------+
|  r   |         P_mle         |
+------+-----------------------+
| 10.0 | 0.0011791799492088142 |
|      |                       |
| 9.0  | 0.0012657710981710828 |
|      |                       |
| 8.0  | 0.0013207925574075757 |
|      |                       |
| 7.0  | 0.0014121365058120984 |
|      |                       |
| 6.0  | 0.0015170103212418318 |
|      |                       |
| 5.0  | 0.0016650409432859984 |
|      |                       |
| 4.0  | 0.0019176331530582577 |
|      |                       |
| 3.0  |  0.002142506481412737 |
|      |                       |
| 2.0  |  0.002688974341368914 |
|      |                       |
| 1.0  | 0.0039385789830419906 |
|      |                       |
+------+-----------------------+
