+--------------------------------------+-----------+
|                n-gram                | frequency |
+--------------------------------------+-----------+
|   ('yazılı', 'soru', 'önergesi'),    |   18794   |
|                                      |           |
|        ('say', 'ba', 'kan'),         |   18572   |
|                                      |           |
|   ('türkiye', 'büyük', 'millet'),    |   15790   |
|                                      |           |
|  ('başkanlığa', 'geliş', 'tarihi'),  |   15364   |
|                                      |           |
|    ('kabul', 'edenler', 'kabul'),    |   15138   |
|                                      |           |
| ('edenler', 'kabul', 'etmeyenler'),  |   15127   |
|                                      |           |
| ('önergesi', 'başkanlığa', 'geliş'), |   14050   |
|                                      |           |
| ('soru', 'önergesi', 'başkanlığa'),  |   13250   |
|                                      |           |
|  ('bakanından', 'yazılı', 'soru'),   |   13172   |
|                                      |           |
|  ('sunuyorum', 'kabul', 'edenler'),  |   12880   |
|                                      |           |
+--------------------------------------+-----------+
