+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.00477053457432851  |
|      |                      |
| 9.0  | 0.005274342172589136 |
|      |                      |
| 8.0  | 0.006688216072187784 |
|      |                      |
| 7.0  | 0.006894324015940277 |
|      |                      |
| 6.0  | 0.009679041795399152 |
|      |                      |
| 5.0  | 0.011317320705237492 |
|      |                      |
| 4.0  | 0.020035926077309904 |
|      |                      |
| 3.0  | 0.027653835245900444 |
|      |                      |
| 2.0  |  0.070751139257451   |
|      |                      |
| 1.0  |  0.5161652453954494  |
|      |                      |
+------+----------------------+
