+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.015621233306012268 |
|      |                      |
| 9.0  | 0.015534448676534428 |
|      |                      |
| 8.0  |  0.0163540812882696  |
|      |                      |
| 7.0  | 0.016874789065136675 |
|      |                      |
| 6.0  | 0.02152258811050581  |
|      |                      |
| 5.0  | 0.02487826045031592  |
|      |                      |
| 4.0  | 0.027423942914999375 |
|      |                      |
| 3.0  | 0.03670989826912874  |
|      |                      |
| 2.0  |  0.0524757726242717  |
|      |                      |
| 1.0  | 0.09298490911720918  |
|      |                      |
+------+----------------------+
