+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.01833417560849479  |
|      |                      |
| 9.0  | 0.018193143488429552 |
|      |                      |
| 8.0  | 0.019650475395771323 |
|      |                      |
| 7.0  | 0.02032037796608169  |
|      |                      |
| 6.0  | 0.025879394031990886 |
|      |                      |
| 5.0  | 0.03020437904732837  |
|      |                      |
| 4.0  | 0.033283580335421094 |
|      |                      |
| 3.0  |  0.0446366660006806  |
|      |                      |
| 2.0  | 0.06386404503625469  |
|      |                      |
| 1.0  | 0.11327229776580755  |
|      |                      |
+------+----------------------+
