+------+-----------------------+
|  r   |         P_mle         |
+------+-----------------------+
| 10.0 | 0.0028671709658330312 |
|      |                       |
| 9.0  | 0.0029929154945394325 |
|      |                       |
| 8.0  | 0.0030981103337291904 |
|      |                       |
| 7.0  |  0.003360445060608816 |
|      |                       |
| 6.0  |  0.003600109891911602 |
|      |                       |
| 5.0  |  0.004002296672441613 |
|      |                       |
| 4.0  |  0.004516365095895693 |
|      |                       |
| 3.0  |  0.005257540207058661 |
|      |                       |
| 2.0  |  0.006530397761255791 |
|      |                       |
| 1.0  |  0.00938802779983408  |
|      |                       |
+------+-----------------------+
