+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.005614716185775627 |
|      |                      |
| 9.0  | 0.005948545417586149 |
|      |                      |
| 8.0  | 0.007526387855126047 |
|      |                      |
| 7.0  |  0.0085380546816751  |
|      |                      |
| 6.0  | 0.011473731518319012 |
|      |                      |
| 5.0  | 0.014337151946969905 |
|      |                      |
| 4.0  | 0.022010674515471552 |
|      |                      |
| 3.0  | 0.03751726982138093  |
|      |                      |
| 2.0  |  0.0925301525909465  |
|      |                      |
| 1.0  |  0.560426329836189   |
|      |                      |
+------+----------------------+
