+------+----------------------+
|  r   |        P_mle         |
+------+----------------------+
| 10.0 | 0.008590214395285805 |
|      |                      |
| 9.0  | 0.009564708029652707 |
|      |                      |
| 8.0  | 0.011714935922486942 |
|      |                      |
| 7.0  | 0.013338041364265528 |
|      |                      |
| 6.0  | 0.016980429802990953 |
|      |                      |
| 5.0  | 0.021046216289442112 |
|      |                      |
| 4.0  | 0.02978819686970986  |
|      |                      |
| 3.0  |   0.04627741616976   |
|      |                      |
| 2.0  | 0.09013230400933178  |
|      |                      |
| 1.0  |  0.3347963950278254  |
|      |                      |
+------+----------------------+
